developer,title,release_date,recommend
United Front Games,Sleeping Dogs Wheels of Fury,2013-02-26,
Double Fine Productions,Brutal Legend,2013-02-26,
Dovetail Games,Train Simulator Norfolk Southern Heritage SDACes Loco AddOn,2013-02-07,
Dovetail Games,Train Simulator Norfolk Southern Heritage ESACs Loco AddOn,2013-02-07,
Ronimo Games,Awesomenauts  DoubleO Yuri Skin,2013-02-07,
Ronimo Games,Awesomenauts  Pimpy G Skin,2013-02-07,
Lukewarm Media,Primal Carnage  Agent Trapper DLC,2013-02-08,
Zeal Game Studio,A Game of Dwarves Pets,2013-02-11,
Sector Studios,RaceRoom Racing Experience,2013-02-12,
Ubisoft  San Francisco,Rocksmith  The Clash  London Calling,2013-02-12,
Ubisoft  San Francisco,Rocksmith  The Clash  Guns of Brixton,2013-02-12,
Ubisoft  San Francisco,Rocksmith  The Clash SongPack,2013-02-12,
Ubisoft  San Francisco,Rocksmith  The Clash  Should I Stay or Should I Go,2013-02-12,
GTraX,Train Simulator Southern Pacific GS Loco AddOn,2013-02-14,
Double Fine Productions,Brutal Legend Soundtrack,2013-02-13,
United Front Games,Sleeping Dogs Law Enforcer Pack,2013-02-13,
Oovee Game Studios,Train Simulator Freightliner Class  Loco AddOn,2013-02-14,
Digital Train Model,Train Simulator Southern Pacific SD Loco AddOn,2013-02-14,
Nihon Falcom,Ys I amp II Chronicles,2013-02-14,
Ubisoft  San Francisco,Rocksmith  Fall Out Boy SongPack,2013-02-05,
Rebellion,Sniper Elite V  St Pierre,2013-02-06,
Tale of Tales,Bientt lt,2013-02-06,
Cyanide Montreal,Impire,2013-02-14,
Capcom USA Inc,Street Fighter X Tekken Gems Assist ,2013-02-06,
Capcom USA Inc,Street Fighter X Tekken Gems Assist ,2013-02-06,
Capcom USA Inc,Street Fighter X Tekken Gems Assist ,2013-02-06,
Capcom USA Inc,Street Fighter X Tekken Gems Assist ,2013-02-06,
Capcom USA Inc,Street Fighter X Tekken TK Booster Pack ,2013-02-06,
The Farm ,Painkiller Hell amp Damnation Medieval Horror,2013-01-25,
United Front Games,Sleeping Dogs Monkey King Pack,2013-01-29,
Ubisoft  San Francisco,Rocksmith  Cheap Trick  Surrender,2013-01-29,
NEXON CO Ltd,Mabinogi  Spiritual Healing Package,2013-01-29,
Ubisoft  San Francisco,Rocksmith  Steppenwolf  Born to be Wild,2013-01-29,
United Front Games,Sleeping Dogs Movie Masters Pack,2013-01-29,
Ubisoft  San Francisco,Rocksmith  The Guess Who  American Woman,2013-01-29,
Lukewarm Media,Primal Carnage  Pilot Commando DLC,2013-01-29,
Ninja Theory,DmC Devil May Cry Costume Pack,2013-01-29,
Ed Key and David Kanaga,Proteus,2013-01-30,
Digital Train Model,Train Simulator Southern Pacific GE  Loco AddOn,2013-01-31,
Eden Industries,Waveform Soundtrack,2013-01-31,
Sumo Digital,Sonic amp AllStars Racing Transformed,2013-01-31,
Alexander Bruce,Antichamber,2013-01-31,
Haemimont Games,Omerta  City of Gangsters,2013-01-31,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Mechromancer Madness Pack,2013-01-22,
exosyphen studios,Hacker Evolution Duality Inception Part  DLC,2013-01-31,
GearBox SoftwareAspyr Mac amp Linux,Borderlands  Mechromancer Domination Pack,2013-01-22,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Gunzerker Supremacy Pack,2013-01-22,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Assassin Madness Pack,2013-01-22,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Assassin Domination Pack,2013-01-22,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Assassin Supremacy Pack,2013-01-22,
GearBox SoftwareAspyr Mac amp Linux,Borderlands  Mechromancer Supremacy Pack,2013-01-22,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Siren Supremacy Pack,2013-01-22,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Commando Madness Pack,2013-01-22,
The Sims Studio,The Sims  s s and s,2013-01-22,
Ubisoft  San Francisco,Rocksmith  The Strokes Song Pack,2013-01-22,
Rockstar Studios,Max Payne  Deathmatch Made In Heaven Pack,2013-01-22,
Ubisoft  San Francisco,Rocksmith  The Strokes  Juicebox,2013-01-22,
Ubisoft  San Francisco,Rocksmith  The Strokes  Last Nite,2013-01-22,
Paradox Development Studio,Expansion  Crusader Kings II The Republic,2013-01-15,
Paradox Development Studio,Crusader Kings II Songs of Prosperity,2013-01-15,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Sir Hammerlocks Big Game Hunt,2013-01-15,
Paradox Development Studio,Crusader Kings II Mediterranean Portraits,2013-01-15,
Ubisoft  San Francisco,Rocksmith  Pearl Jam  Alive,2013-01-15,
Ubisoft Montreal,Assassins Creed III  The Battle Hardened Pack,2013-01-15,
Ubisoft  San Francisco,Rocksmith  Eric Johnson  Cliffs of Dover,2013-01-15,
Ubisoft  San Francisco,Rocksmith  Blind Melon  No Rain,2013-01-15,
Ubisoft Montreal Massive Entertainment and Ubisoft Shanghai,Far Cry  Deluxe Bundle DLC,2013-01-15,
Ubisoft  San Francisco,Rocksmith  Pearl Jam Song Pack,2013-01-15,
SCS Software,Euro Truck Simulator ,2013-01-16,
Beamdog,Baldurs Gate Enhanced Edition,2013-01-16,
Ubisoft ParisRed Storm Entertainment,Tom Clancys Ghost Recon Future Soldier Raven Strike DLC,2013-01-17,
Dovetail Games,Train Simulator BR Class  BIG EMU AddOn,2013-01-17,
Ubisoft  San Francisco,Rocksmith  Santana  Black Magic Woman,2013-01-08,
Ubisoft  San Francisco,Rocksmith  Santana  Oye Como Va,2013-01-08,
Ubisoft  San Francisco,Rocksmith  Santana Feat Rob Thomas  Smooth,2013-01-08,
Ubisoft  San Francisco,Rocksmith  Santana Song Pack,2013-01-08,
Dovetail Games,Train Simulator First Capital Connect Class  EMU AddOn,2013-01-17,
Digital Train Model,Train Simulator Boston amp Maine GE  Loco AddOn,2013-01-17,
Stainless Games,Magic The Gathering   Deck Pack ,2013-01-09,
Stainless Games,Magic  Rogues Gallery Foil Conversion,2013-01-09,
Stainless Games,Magic  Mana Mastery Foil Conversion,2013-01-09,
Stainless Games,Magic  Mana Mastery Deck Key,2013-01-09,
Stainless Games,Magic  Rogues Gallery Deck Key,2013-01-09,
SkyGoblin,The Journey Down Chapter One,2013-01-09,
Team Digital Ltd,Worms Ultimate Mayhem  Single Player Pack DLC,2013-01-09,
Puppygames,Droid Assault,2013-01-09,
Team Digital Ltd,Worms Ultimate Mayhem  Customization Pack DLC,2013-01-09,
Ubisoft  San Francisco,Rocksmith  Foo Fighters  Song Pack,2012-12-18,
Ubisoft  San Francisco,Rocksmith  Foo Fighters  Best of You,2012-12-18,
Eyedentity Games Inc,Dragon Nest,2012-12-18,
Ronimo Games,Awesomenauts  Capn Vinnie amp Seadog Spike Skin,2012-12-18,
Stainless Games,Magic  Grim Procession Foil Conversion,2012-12-19,
Stainless Games,Magic  Grim Procession Deck Key,2012-12-19,
Stainless Games,Magic  Berserker Rage Foil Conversion,2012-12-19,
Stainless Games,Magic  Berserker Rage Deck Key,2012-12-19,
Gaijin Games,BITTRIPVOID Soundtrack,2012-12-19,
Gaijin Games,BITTRIP VOID,2012-12-19,
United Front Games,Sleeping Dogs Zodiac Tournament,2012-12-19,
Ubisoft  San Francisco,Rocksmith  Nickelback  Rockstar,2012-12-11,
Ubisoft  San Francisco,Rocksmith  Nickelback  Bottoms Up,2012-12-11,
Jagex Limited,Ace of Spades Battle Builder,2012-12-12,
SimBin Studios AB,GTR  FIA GT Racing Game,2006-09-10,
Dovetail Games,Train Simulator Freightliner Class  v Loco AddOn,2012-12-12,
Dovetail Games,Train Simulator LNER Black Class A Flying Scotsman Loco AddOn,2012-12-13,
Tiger Style,Waking Mars,2012-12-13,
Paradox Interactive,Crusader Kings II Russian Unit Pack,2012-12-13,
Paradox Interactive,Crusader Kings II Russian Portraits,2012-12-13,
Paradox Interactive,Crusader Kings II Songs of the Rus,2012-12-13,
Daybreak Game Company,Everquest ,2012-12-13,
Crankshaft Games,Party of Sin Soundtrack,2012-12-13,
Crankshaft Games,Party of Sin,2012-12-13,
Tripwire Interactive,Killing Floor  Golden Weapons Pack,2012-12-13,
Tripwire Interactive,Killing Floor  Robot Special Character Pack,2012-12-13,
CSRStudios,Dead Pixels,2012-12-07,
Dovetail Games,Train Simulator Strathclyde Class  DMU AddOn,2012-12-06,
BlackMark Studio,Sea Dogs To Each His Own  Pirate Open World RPG,Dec 2012,
x Games,Unity of Command  Red Turn DLC,2012-12-10,
Paradox Development Studio,Europa Universalis III Revolution II Unit Pack,2012-12-10,
Paradox Interactive,Europa Universalis III Absolutism SpritePack,2012-12-10,
Paradox Development Studio,Europa Universalis III Music of the World,2012-12-10,
Slightly Mad Studios,Test Drive Ferrari Racing Legends,2012-12-10,
KADOKAWA,RPG Maker VX Ace,2012-12-10,
Arkane Studios,Dishonored Dunwall City Trials,2012-12-10,
GearBox SoftwareAspyr Mac amp Linux,Borderlands  Collectors Edition Pack,2012-12-11,
GearBox SoftwareAspyr Mac amp Linux,Borderlands  Creature Slaughterdome,2012-12-11,
Reppo,Train Simulator PRR Baldwin Centipede Loco AddOn,2012-11-29,
Turbo Tape Games,Naval War Arctic Circle  Operation Tarnhelm,2012-11-29,
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,Total War SHOGUN   Otomo Clan Pack DLC,2012-11-30,
Lukewarm Media,Primal Carnage  Dinosaur Skin Pack  DLC,2012-11-30,
Puppygames,Revenge of the Titans Sandbox Mode,2012-11-30,
Puppygames,Revenge of the Titans Soundtrack,2012-11-30,
Kerberos Productions,Sword of the Stars II Enhanced Edition,2012-11-30,
Liquid Entertainment,Karateka,2012-12-03,
Ubisoft  San Francisco,Rocksmith  Pantera  Domination,2012-12-04,
Ubisoft  San Francisco,Rocksmith  Pantera  Walk,2012-12-04,
Ubisoft Montreal Massive Entertainment and Ubisoft Shanghai,Far Cry ,2012-12-04,
Ubisoft  San Francisco,Rocksmith  Pantera Song Pack,2012-12-04,
Firaxis GamesFeral Interactive MacFeral Interactive Linux,XCOM Enemy Unknown  Slingshot Pack,2012-12-04,
Stainless Games,Magic The Gathering   Deck Pack ,2012-12-05,
Rockstar Studios,Max Payne  Painful Memories Pack,2012-12-04,
KING Art,The Book of Unwritten Tales Critter Chronicles Digital Extras,2012-12-05,
Ubisoft  San Francisco,Rocksmith  Pantera  Cowboys From Hell,2012-12-04,
Dovetail Games,Train Simulator Union Pacific Challenger Loco AddOn,2012-11-23,
Terry Cavanagh,Super Hexagon,2012-11-27,
Ubisoft  San Francisco,Rocksmith  Rick James  Super Freak,2012-11-27,
Ubisoft  San Francisco,Rocksmith  Chic  Good Times,2012-11-27,
Travellers Tales,LEGO The Lord of the Rings,2012-11-27,
Ubisoft  San Francisco,Rocksmith  Parliament  Give Up the Funk Tear the Roof off Sucker,2012-11-27,
United Front Games,Sleeping Dogs Gangland Style Pack,2012-11-27,
Keen Software House,Miner Wars ,2012-11-28,
Core Design,Tomb Raider I,2012-11-28,
Core Design,Tomb Raider II,2012-11-28,
Core Design,Tomb Raider III,2012-11-28,
Core Design,Tomb Raider V Chronicles,2012-11-28,
Core Design,Tomb Raider IV The Last Revelation,2012-11-28,
IoInteractive AS,Hitman Absolution Public Enemy Disguise,2012-11-19,
IoInteractive AS,Hitman Absolution Bronson M Gun,2012-11-19,
IoInteractive AS,Hitman Absolution High Roller Disguise,2012-11-19,
IoInteractive AS,Hitman Absolution Krugermeier  Gun,2012-11-19,
Tomorrow Corporation,Little Inferno,2012-11-19,
SEGA,SONIC ADVENTURE  BATTLE,2012-11-19,
SEGA,Sonic Adventure ,2012-11-19,
IoInteractive AS,Hitman Absolution Agency Jagd PG,2012-11-19,
th Cell Media,Scribblenauts Unlimited,2012-11-19,
IoInteractive ASFeral Interactive Mac,Hitman Absolution,2012-11-19,
Daybreak Game Company,PlanetSide ,2012-11-20,
Colossal Order Ltd,Cities in Motion London,2012-11-20,
Ubisoft Montreal,Assassins Creed III Season Pass,2012-11-20,
Ubisoft Montreal,Assassins Creed III,2012-11-20,
Gearbox SoftwareAspyr Mac amp Linux,Borderlands  Mr Torgues Campaign of Carnage,2012-11-20,
United Front Games,Sleeping Dogs Drunken Fist Pack,2012-11-20,
Codemasters Birmingham,F Race Stars  Christmas Accessory Pack,2012-11-13,
Codemasters Birmingham,F Race Stars  Holiday Accessory Pack,2012-11-13,
Gaming Minds,Port Royale  Dawn of Pirates DLC,2012-11-14,
Acquire,Clan of Champions  New Shield Pack ,2012-11-14,
Acquire,Clan of Champions  ThreeEyed Deitys Aegis ,2012-11-14,
Acquire,Clan of Champions  Gem Pack ,2012-11-14,
Acquire,Clan of Champions  Character Slot DLC,2012-11-14,
Haemimont GamesFeral Interactive Mac,Tropico  Megalopolis DLC,2012-11-15,
Codemasters Birmingham,F Race Stars  Nautical Accessory Pack,2012-11-13,
Paradox Development Studio,Expansion  Crusader Kings II Sunset Invasion,2012-11-15,
MeshTools,Train Simulator LNERBR Class J Loco AddOn,2012-06-10,
Golgoth Studio,Magical Drop V,2012-11-15,
Bithell Games,Thomas Was Alone,2012-11-12,
Aspyr,Call of Duty Black Ops Annihilation amp Escalation Bundle  Mac Edition,2012-11-15,
Ubisoft  San Francisco,Rocksmith  Rush  Headlong Flight,2012-11-13,
Ubisoft  San Francisco,Rocksmith  Rush  Subdivisions,2012-11-13,
Ubisoft  San Francisco,Rocksmith  Rush  YYZ,2012-11-13,
Ubisoft  San Francisco,Rocksmith  Rush  Limelight,2012-11-13,
Carbon Games,AirMech Soundtrack,2012-11-13,
Ubisoft  San Francisco,Rocksmith  Rush  Red Barchetta,2012-11-13,
Ubisoft  San Francisco,Rocksmith  Rush Song Pack,2012-11-13,
Ubisoft  San Francisco,Rocksmith  Rush  Tom Sawyer,2012-11-13,
Codemasters Birmingham,F Race Stars  Europe Track DLC,2012-11-13,
United Front Games,Sleeping Dogs Police Protection Pack,2012-11-13,
Codemasters Birmingham,F Race Stars  Games Accessory Pack,2012-11-13,
United Front Games,Sleeping Dogs Martial Arts Pack,2012-11-13,
United Front Games,Sleeping Dogs GSP Pack,2012-11-13,
Xavi Canal Ben Palgi,Towns,2012-11-07,
Trickstar Games,Damage Inc FU Reaper Corsair,2012-11-08,
Turtle Cream,Sugar Cube Bittersweet Factory,2012-11-07,
Trickstar Games,Damage Inc P Bolt Shooting Star,2012-11-08,
Trickstar Games,Damage Inc P Mauler Black Widow,2012-11-08,
Trickstar Games,Damage Inc PN Blackfin Warhawk,2012-11-08,
Trickstar Games,Damage Inc FFN Crusader Hellcat,2012-11-08,
Trickstar Games,Damage Inc FFFM Panther Wildcat,2012-11-08,
Trickstar Games,Damage Inc Euro Plane Pack,2012-11-08,
Oovee Game Studios,Train Simulator Class  Rail Tour Loco AddOn,2012-11-08,
Dovetail Games,Train Simulator Thompson Class B Loco AddOn,2012-11-08,
Cyanide Studios,Game of Thrones  Beyond the Wall Blood Bound DLC,2012-11-08,
Carbon Games,AirMech Strike,2012-11-08,
Giants Software,Farming Simulator  Modding Tutorials,2012-11-08,
Ubisoft  San Francisco,Rocksmith  Avenged Sevenfold  Nightmare,2012-10-30,
Ubisoft  San Francisco,Rocksmith  Avenged Sevenfold Song Pack,2012-10-30,
Rockstar Studios,Max Payne  Hostage Negotiation Pack,2012-10-30,
United Front Games,Sleeping Dogs Nightmare in North Point,2012-10-30,
Level Up Labs LLC,Defenders Quest Valley of the Forgotten DX edition,2012-10-30,
ACQUIRE Corp,Clan of Champions,2012-10-30,
Unknown Worlds Entertainment,Natural Selection ,2012-10-30,
The Farm ,Painkiller Hell amp Damnation,2012-10-31,
Might and Delight,Pid,2012-10-31,
Robot Entertainment,Orcs Must Die   Are We There Yeti,2012-10-31,
Serious Brew,Cargo Commander,2012-11-01,
HeR Interactive Inc,Nancy Drew The Deadly Device,2012-10-23,
inner seas,Winter Voices Episode  Overflow,2012-11-01,
Ronimo Games,Awesomenauts  Ravishing Raelynn Skin,2012-11-01,
Cobra Mobile,iBomber Attack,2012-11-01,
MeshTools,Train Simulator Class J Memories of Maerdy Loco AddOn,2012-11-01,
Tripwire Interactive,Killing Floor  The Chickenator Pack,2012-10-23,
Arkedo,Hell Yeah Virtual Rabbit Missions,2012-10-24,
Tripwire Interactive,Killing Floor  Community Weapon Pack,2012-10-23,
Team Digital Ltd,Worms Revolution Funfair DLC,2012-10-24,
MumboJumbo, Wonders Ancient Alien Makeover,2012-10-24,
Illwinter Game Design,Conquest of Elysium ,2012-10-24,
Ubisoft ParisRed Storm Entertainment,Tom Clancys Ghost Recon Future Soldier  Season Pass,2012-10-25,
Ubisoft ParisRed Storm Entertainment,Tom Clancys Ghost Recon Future Soldier  Arctic Strike DLC,2012-10-25,
Arkedo,Hell Yeah Pimp My Rabbit Pack,2012-10-24,
Tequila Works SL,Deadlight Original Soundtrack,2012-10-25,
Tequila Works SL,Deadlight,2012-10-25,
CSoftClub,Kings Bounty Warriors of the North,2012-10-25,
Shiver Games,Lucius,2012-10-26,
Creative Assembly PC Port  Hardlight,Viking Battle for Asgard,2012-10-17,
Edelweiss,Fairy Bloom Freesia,2012-10-17,
Exor Studios,Zombie Driver HD,2012-10-17,
IPACS,Aerofly FS  Flight Simulator,2012-10-17,
Exor Studios,Zombie Driver HD Soundtrack,2012-10-17,
Rebellion,Sniper Elite V  The Landwehr Canal Pack,2012-10-18,
Power of ,Dwarfs  FP Summer Carnival Pack,2012-10-18,
Power of ,Dwarfs  FP Difficulty Pack,2012-10-18,
Power of ,Dwarfs  FP Base Defend Pack,2012-10-18,
Power of ,Dwarfs  FP Endless Mode Pack,2012-10-18,
Power of ,Dwarfs  FP Skirmish Pack,2012-10-18,
OVERKILL Software,PAYDAY The Heist Soundtrack,2012-10-18,
Power of ,Dwarfs  FP,2012-10-18,
Arcen Games LLC,AI War Ancient Shadows,2012-10-19,
Dovetail Games,Train Simulator BR Robinson Class O Loco AddOn,2012-10-19,
exosyphen studios,Hacker Evolution Duality Inception Part  DLC,2012-10-20,
Ubisoft  San Francisco,Rocksmith  Judas Priest  Breaking the Law,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Whitesnake  Is This Love,2012-10-16,
Ubisoft  San Francisco,Rocksmith  B B King  The Thrill Is Gone,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Pat Benatar  Hit Me With Your Best Shot,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Twisted Sister  Were Not Gonna Take It,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Lamb of God  Redneck,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Blue Oyster Cult  Dont Fear The Reaper,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Evanescence  Bring Me to Life,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Maroon   This Love,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Foster the People  Pumped Up Kicks,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Heart  Barracuda,2012-10-16,
Ubisoft  San Francisco,Rocksmith  The Offspring Song Pack,2012-10-16,
Ubisoft  San Francisco,Rocksmith  blink  Song Pack,2012-10-16,
Ubisoft  San Francisco,Rocksmith  David Bowie  Space Oddity,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Mountain  Mississippi Queen,2012-10-16,
Ubisoft  San Francisco,Rocksmith  The Black Keys  Tighten Up,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Creedence Clearwater Revival  Born on the Bayou,2012-10-16,
Ubisoft  San Francisco,Rocksmith  The Offspring  Come Out and Play,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Iron Butterly  InAGaddaDaVida,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Judas Priest  Painkiller,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Europe  The Final Countdown,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Otis Redding  Sittin On The Dock of the Bay,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Lynyrd Skynyrd  Free Bird,2012-10-16,
Ubisoft  San Francisco,Rocksmith  The Black Keys  Gold on the Ceiling,2012-10-16,
Ubisoft  San Francisco,Rocksmith  The Police  Message In A Bottle,2012-10-16,
Ubisoft  San Francisco,Rocksmith  My Chemical Romance  Welcome to the Black Parade,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Queen  Bohemian Rhapsody,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Three Days Grace  I Hate Everything About You,2012-10-16,
Ubisoft  San Francisco,Rocksmith  Boston  More Than a Feeling,2012-10-16,
Ubisoft  San Francisco,Rocksmith  David Bowie  The Man Who Sold The World,2012-10-16,
